sample	sample_kind	Ea	Pa	Pch	Pci	Pv	Pf	Sm	Ab	H77	H79	H82	H97	Fj	IN63	IN65	IN72	transfer	ident	Generation	total	present	coexistence	excluded	cont	Gen_jit
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p3_A1	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_Fj	Pair	0	0	0	0.49689441	0	0	0	0	0	0	0	0	0.50310559	0	0	0	0	p3_A5	0	161	"['Pci', 'Fj']"	TRUE	non	FALSE	0
Ea_IN72	Pair	0.78125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.21875	0	p3_A7	0	32	"['Ea', 'IN72']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p3_A9	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
Sm_H82	Pair	0	0	0	0	0	0	0.741935484	0	0	0	0.258064516	0	0	0	0	0	0	p3_B2	0	62	"['Sm', 'H82']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p3_B4	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Sm_H79	Pair	0	0	0	0	0	0	0.829787234	0	0	0.170212766	0	0	0	0	0	0	0	p3_B6	0	94	"['Sm', 'H79']"	TRUE	non	FALSE	0
Pci_IN65	Pair	0	0	0	0.446428571	0	0	0	0	0	0	0	0	0	0	0.553571429	0	0	p3_B8	0	56	"['Pci', 'IN65']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p3_B10	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Pch_Ab	Pair	0	0	0.366666667	0	0	0	0	0.633333333	0	0	0	0	0	0	0	0	0	p3_C1	0	60	"['Pch', 'Ab']"	TRUE	non	FALSE	0
Ea_H79	Pair	0.78125	0	0	0	0	0	0	0	0	0.21875	0	0	0	0	0	0	0	p3_C3	0	32	"['Ea', 'H79']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p3_C5	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Pci_Pf	Pair	0	0	0	0.548387097	0	0.451612903	0	0	0	0	0	0	0	0	0	0	0	p3_C7	0	31	"['Pci', 'Pf']"	TRUE	non	FALSE	0
Pa_Pci	Pair	0	0.30952381	0	0.69047619	0	0	0	0	0	0	0	0	0	0	0	0	0	p3_C9	0	42	"['Pa', 'Pci']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p3_C11	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p3_D2	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pci_IN72	Pair	0	0	0	0.8	0	0	0	0	0	0	0	0	0	0	0	0.2	0	p3_D4	0	45	"['Pci', 'IN72']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p3_D6	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
H82_H97	Pair	0	0	0	0	0	0	0	0	0	0	0.363636364	0.636363636	0	0	0	0	0	p3_D8	0	22	"['H82', 'H97']"	TRUE	non	FALSE	0
Sm_IN65	Pair	0	0	0	0	0	0	0.616161616	0	0	0	0	0	0	0	0.383838384	0	0	p3_D10	0	99	"['Sm', 'IN65']"	TRUE	non	FALSE	0
Pa_IN63	Pair	0	0.5	0	0	0	0	0	0	0	0	0	0	0	0.5	0	0	0	p3_D12	0	50	"['Pa', 'IN63']"	TRUE	non	FALSE	0
Pv_Sm	Pair	0	0	0	0	0.75	0	0.25	0	0	0	0	0	0	0	0	0	0	p3_E1	0	4	"['Pv', 'Sm']"	TRUE	non	FALSE	0
Pch_IN65	Pair	0	0	0.310344828	0	0	0	0	0	0	0	0	0	0	0	0.689655172	0	0	p3_E3	0	58	"['Pch', 'IN65']"	TRUE	non	FALSE	0
Ea_H82	Pair	0.566666667	0	0	0	0	0	0	0	0	0	0.433333333	0	0	0	0	0	0	p3_E5	0	30	"['Ea', 'H82']"	TRUE	non	FALSE	0
Pf_Fj	Pair	0	0	0	0	0	0.255813953	0	0	0	0	0	0	0.744186047	0	0	0	0	p3_E9	0	43	"['Pf', 'Fj']"	TRUE	non	FALSE	0
Ab_Fj	Pair	0	0	0	0	0	0	0	0.517857143	0	0	0	0	0.482142857	0	0	0	0	p3_F2	0	56	"['Ab', 'Fj']"	TRUE	non	FALSE	0
Sm_Ab	Pair	0	0	0	0	0	0	0.541666667	0.458333333	0	0	0	0	0	0	0	0	0	p3_F4	0	48	"['Sm', 'Ab']"	TRUE	non	FALSE	0
H79_Fj	Pair	0	0	0	0	0	0	0	0	0	0.285714286	0	0	0.714285714	0	0	0	0	p3_F6	0	28	"['H79', 'Fj']"	TRUE	non	FALSE	0
Ab_H79	Pair	0	0	0	0	0	0	0	0.833333333	0	0.166666667	0	0	0	0	0	0	0	p3_F8	0	72	"['Ab', 'H79']"	TRUE	non	FALSE	0
IN65_IN72	Pair	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.975609756	0.024390244	0	p3_F12	0	41	"['IN65', 'IN72']"	TRUE	non	FALSE	0
Pv_H77	Pair	0	0	0	0	0.24	0	0	0	0.76	0	0	0	0	0	0	0	0	p3_G3	0	25	"['Pv', 'H77']"	TRUE	non	FALSE	0
Ea_H97	Pair	0.56	0	0	0	0	0	0	0	0	0	0	0.44	0	0	0	0	0	p3_G7	0	50	"['Ea', 'H97']"	TRUE	non	FALSE	0
Ea_Pci	Pair	0.54	0	0	0.46	0	0	0	0	0	0	0	0	0	0	0	0	0	p3_G9	0	50	"['Ea', 'Pci']"	TRUE	non	FALSE	0
Pci_H77	Pair	0	0	0	0.346938776	0	0	0	0	0.653061224	0	0	0	0	0	0	0	0	p3_G11	0	49	"['Pci', 'H77']"	TRUE	non	FALSE	0
Pch_H79	Pair	0	0	0.577777778	0	0	0	0	0	0	0.422222222	0	0	0	0	0	0	0	p3_H2	0	45	"['Pch', 'H79']"	TRUE	non	FALSE	0
H79_IN72	Pair	0	0	0	0	0	0	0	0	0	0.481481481	0	0	0	0	0	0.518518519	0	p3_H4	0	27	"['H79', 'IN72']"	TRUE	non	FALSE	0
H79_IN65	Pair	0	0	0	0	0	0	0	0	0	0.272727273	0	0	0	0	0.727272727	0	0	p3_H6	0	77	"['H79', 'IN65']"	TRUE	non	FALSE	0
Pv_Pf	Pair	0	0	0	0	0.555555556	0.444444444	0	0	0	0	0	0	0	0	0	0	0	p3_H8	0	9	"['Pv', 'Pf']"	TRUE	non	FALSE	0
